Feature,Coefficient,Compartment,Feature_Type,Measurement,Channel,Rank
Cytoplasm_RadialDistribution_ZernikeMagnitude_Mitochondria_1_1,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,Mitochondria,314
Cytoplasm_RadialDistribution_ZernikeMagnitude_ER_5_3,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,ER,315
Nuclei_RadialDistribution_ZernikeMagnitude_Hoechst_6_2,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,Hoechst,316
Nuclei_Texture_Contrast_Actin_3_03_256,0.0,Nuclei,Texture,Contrast,Actin,317
Cells_RadialDistribution_ZernikeMagnitude_Actin_8_8,0.0,Cells,RadialDistribution,ZernikeMagnitude,Actin,318
Cytoplasm_Correlation_Manders_ER_Hoechst,0.0,Cytoplasm,Correlation,Manders,ER,319
Cytoplasm_Texture_Correlation_ER_3_02_256,0.0,Cytoplasm,Texture,Correlation,ER,320
Cytoplasm_Texture_Contrast_Hoechst_3_03_256,0.0,Cytoplasm,Texture,Contrast,Hoechst,321
Nuclei_Texture_InfoMeas2_Mitochondria_3_03_256,0.0,Nuclei,Texture,InfoMeas2,Mitochondria,322
Cytoplasm_AreaShape_Zernike_8_2,0.0,Cytoplasm,AreaShape,Zernike,8,323
Cells_Intensity_MeanIntensityEdge_ER,0.0,Cells,Intensity,MeanIntensityEdge,ER,324
Cytoplasm_AreaShape_Zernike_6_0,0.0,Cytoplasm,AreaShape,Zernike,6,325
Cytoplasm_RadialDistribution_ZernikeMagnitude_PM_5_3,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,PM,326
Cytoplasm_RadialDistribution_MeanFrac_PM_1of4,0.0,Cytoplasm,RadialDistribution,MeanFrac,PM,327
Cells_RadialDistribution_ZernikeMagnitude_PM_9_7,0.0,Cells,RadialDistribution,ZernikeMagnitude,PM,328
Cytoplasm_RadialDistribution_ZernikeMagnitude_Hoechst_3_1,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,Hoechst,329
Cells_AreaShape_Zernike_0_0,0.0,Cells,AreaShape,Zernike,0,330
Nuclei_Texture_Correlation_Actin_3_03_256,0.0,Nuclei,Texture,Correlation,Actin,331
Cytoplasm_Intensity_IntegratedIntensity_Hoechst,0.0,Cytoplasm,Intensity,IntegratedIntensity,Hoechst,332
Nuclei_RadialDistribution_RadialCV_PM_3of4,0.0,Nuclei,RadialDistribution,RadialCV,PM,333
Cells_Correlation_Correlation_Actin_PM,0.0,Cells,Correlation,Correlation,Actin,334
Nuclei_AreaShape_Zernike_7_5,0.0,Nuclei,AreaShape,Zernike,7,335
Cytoplasm_Texture_InfoMeas1_ER_3_03_256,0.0,Cytoplasm,Texture,InfoMeas1,ER,336
Nuclei_Correlation_Overlap_Mitochondria_PM,0.0,Nuclei,Correlation,Overlap,Mitochondria,337
Cytoplasm_RadialDistribution_RadialCV_Hoechst_4of4,0.0,Cytoplasm,RadialDistribution,RadialCV,Hoechst,338
Nuclei_Correlation_K_Hoechst_PM,0.0,Nuclei,Correlation,K,Hoechst,339
Cytoplasm_RadialDistribution_FracAtD_Actin_4of4,0.0,Cytoplasm,RadialDistribution,FracAtD,Actin,340
Nuclei_RadialDistribution_ZernikeMagnitude_PM_3_3,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,PM,341
Cytoplasm_AreaShape_MajorAxisLength,0.0,Cytoplasm,AreaShape,MajorAxisLength,,342
Cells_RadialDistribution_RadialCV_PM_2of4,0.0,Cells,RadialDistribution,RadialCV,PM,343
Nuclei_Intensity_LowerQuartileIntensity_PM,0.0,Nuclei,Intensity,LowerQuartileIntensity,PM,344
Cytoplasm_RadialDistribution_FracAtD_Mitochondria_3of4,0.0,Cytoplasm,RadialDistribution,FracAtD,Mitochondria,345
Nuclei_RadialDistribution_ZernikeMagnitude_Mitochondria_7_7,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,Mitochondria,346
Cells_RadialDistribution_FracAtD_Hoechst_2of4,0.0,Cells,RadialDistribution,FracAtD,Hoechst,347
Cells_Correlation_Correlation_ER_Hoechst,0.0,Cells,Correlation,Correlation,ER,348
Cytoplasm_Texture_InfoMeas2_Mitochondria_3_00_256,0.0,Cytoplasm,Texture,InfoMeas2,Mitochondria,349
Cytoplasm_RadialDistribution_RadialCV_Hoechst_2of4,0.0,Cytoplasm,RadialDistribution,RadialCV,Hoechst,350
Cytoplasm_Texture_SumAverage_Hoechst_3_01_256,0.0,Cytoplasm,Texture,SumAverage,Hoechst,351
Cytoplasm_RadialDistribution_ZernikeMagnitude_Hoechst_8_4,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,Hoechst,352
Nuclei_Intensity_MADIntensity_PM,0.0,Nuclei,Intensity,MADIntensity,PM,353
Nuclei_RadialDistribution_ZernikeMagnitude_Actin_7_1,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,Actin,354
Nuclei_Texture_DifferenceVariance_ER_3_00_256,0.0,Nuclei,Texture,DifferenceVariance,ER,355
Cytoplasm_Texture_Correlation_Hoechst_3_01_256,0.0,Cytoplasm,Texture,Correlation,Hoechst,356
Cytoplasm_RadialDistribution_ZernikeMagnitude_PM_9_3,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,PM,357
Nuclei_Correlation_Correlation_Hoechst_Mitochondria,0.0,Nuclei,Correlation,Correlation,Hoechst,358
Nuclei_RadialDistribution_ZernikeMagnitude_ER_6_6,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,ER,359
Cytoplasm_RadialDistribution_RadialCV_Mitochondria_4of4,0.0,Cytoplasm,RadialDistribution,RadialCV,Mitochondria,360
Cytoplasm_RadialDistribution_ZernikeMagnitude_Mitochondria_6_4,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,Mitochondria,361
Cytoplasm_RadialDistribution_ZernikeMagnitude_Mitochondria_8_4,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,Mitochondria,362
Nuclei_Texture_InfoMeas1_Actin_3_01_256,0.0,Nuclei,Texture,InfoMeas1,Actin,363
Cytoplasm_RadialDistribution_ZernikeMagnitude_Actin_2_0,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,Actin,364
Cytoplasm_RadialDistribution_ZernikeMagnitude_Hoechst_3_3,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,Hoechst,365
Cytoplasm_RadialDistribution_ZernikeMagnitude_Hoechst_4_2,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,Hoechst,366
Nuclei_Intensity_MADIntensity_Hoechst,0.0,Nuclei,Intensity,MADIntensity,Hoechst,367
Cells_RadialDistribution_RadialCV_Mitochondria_3of4,0.0,Cells,RadialDistribution,RadialCV,Mitochondria,368
Nuclei_Texture_InfoMeas1_PM_3_00_256,0.0,Nuclei,Texture,InfoMeas1,PM,369
Cells_RadialDistribution_RadialCV_Actin_4of4,0.0,Cells,RadialDistribution,RadialCV,Actin,370
Nuclei_RadialDistribution_ZernikeMagnitude_Mitochondria_2_0,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,Mitochondria,371
Cytoplasm_RadialDistribution_ZernikeMagnitude_ER_2_0,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,ER,372
Nuclei_Texture_InfoMeas1_Hoechst_3_00_256,0.0,Nuclei,Texture,InfoMeas1,Hoechst,373
Cytoplasm_Texture_InfoMeas2_Hoechst_3_00_256,0.0,Cytoplasm,Texture,InfoMeas2,Hoechst,374
Cytoplasm_Intensity_MADIntensity_Hoechst,0.0,Cytoplasm,Intensity,MADIntensity,Hoechst,375
Nuclei_RadialDistribution_ZernikeMagnitude_PM_4_0,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,PM,376
Nuclei_RadialDistribution_FracAtD_Mitochondria_4of4,0.0,Nuclei,RadialDistribution,FracAtD,Mitochondria,377
Nuclei_RadialDistribution_ZernikeMagnitude_PM_9_9,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,PM,378
Nuclei_Texture_InfoMeas1_Hoechst_3_03_256,0.0,Nuclei,Texture,InfoMeas1,Hoechst,379
Cells_RadialDistribution_FracAtD_Mitochondria_2of4,0.0,Cells,RadialDistribution,FracAtD,Mitochondria,380
Cells_Texture_Correlation_Hoechst_3_01_256,0.0,Cells,Texture,Correlation,Hoechst,381
Cells_Texture_AngularSecondMoment_Hoechst_3_00_256,0.0,Cells,Texture,AngularSecondMoment,Hoechst,382
Cytoplasm_RadialDistribution_ZernikeMagnitude_PM_5_5,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,PM,383
Cytoplasm_RadialDistribution_ZernikeMagnitude_ER_1_1,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,ER,384
Cytoplasm_RadialDistribution_MeanFrac_Hoechst_2of4,0.0,Cytoplasm,RadialDistribution,MeanFrac,Hoechst,385
